timestamp,description,url,embed_title,tweet_type,financial_info,sentiment,tickers_list,ticker,exchanges,price,percentage_change,4h_ta_result,4h_ta_details,1d_ta_result,1d_ta_details
2023-11-15T14:36:54.950000+00:00,$NVDA Put Writer  ✍️,https://twitter.com/user/status/1724798449101812133,Theta Warrior tweeted about NVDA,tweet,"[{'ticker': '$NVDA', 'exchanges': [], 'price': '494.84', 'percentage_change': '-0.35%', '4h_ta_result': 'BUY', '4h_ta_details': '15 buy, 9 hold, 2 sell', '1d_ta_result': 'STRONG_BUY', '1d_ta_details': '16 buy, 9 hold, 1 sell'}]",Bearish,['$NVDA'],$NVDA,[],494.84,-0.35%,BUY,"15 buy, 9 hold, 2 sell",STRONG_BUY,"16 buy, 9 hold, 1 sell"
2023-11-15T16:11:43.537000+00:00,"$AAPL

Breakout or back to midline?",https://twitter.com/user/status/1724821603098173781,Nebraskangooner tweeted about AAPL,tweet,"[{'ticker': '$AAPL', 'exchanges': [], 'price': '189.3', 'percentage_change': '+0.98%', '4h_ta_result': 'STRONG_BUY', '4h_ta_details': '17 buy, 9 hold, 0 sell', '1d_ta_result': 'BUY', '1d_ta_details': '16 buy, 8 hold, 2 sell'}]",Neutral,['$AAPL'],$AAPL,[],189.3,+0.98%,STRONG_BUY,"17 buy, 9 hold, 0 sell",BUY,"16 buy, 8 hold, 2 sell"
2023-11-15T21:16:45.827000+00:00,"$AAPL daily shooting star at strong supply zone.

> [@jimcramer](https://twitter.com/jimcramer):
> Own it, don't trade it. That's all I have to say. $AAPL",https://twitter.com/user/status/1724898325852496171,<:quote_tweet:1130467736133316700> kpak quote tweeted Jim Cramer about AAPL,quote tweet,"[{'ticker': '$AAPL', 'exchanges': [], 'price': '188.01', 'percentage_change': '+0.3%', '4h_ta_result': 'BUY', '4h_ta_details': '14 buy, 6 hold, 6 sell', '1d_ta_result': 'BUY', '1d_ta_details': '14 buy, 7 hold, 5 sell'}]",Bearish,['$AAPL'],$AAPL,[],188.01,+0.3%,BUY,"14 buy, 6 hold, 6 sell",BUY,"14 buy, 7 hold, 5 sell"
2023-11-15T21:36:44.815000+00:00,$AMZN (daily) Shooting star to bearish engulfing,https://twitter.com/user/status/1724903122357858667,kpak tweeted about AMZN,tweet,"[{'ticker': '$AMZN', 'exchanges': [], 'price': '143.2', 'percentage_change': '-1.82%', '4h_ta_result': 'BUY', '4h_ta_details': '12 buy, 10 hold, 4 sell', '1d_ta_result': 'BUY', '1d_ta_details': '14 buy, 7 hold, 5 sell'}]",Bearish,['$AMZN'],$AMZN,[],143.2,-1.82%,BUY,"12 buy, 10 hold, 4 sell",BUY,"14 buy, 7 hold, 5 sell"
2023-11-16T13:52:05.332000+00:00,"$AMZN

Retesting 11ema on daily 

Spot for potential bullish continuation bounce",https://twitter.com/user/status/1725149247337550291,Nebraskangooner tweeted about AMZN,tweet,"[{'ticker': '$AMZN', 'exchanges': [], 'price': '143.2', 'percentage_change': '-1.82%', '4h_ta_result': 'BUY', '4h_ta_details': '12 buy, 10 hold, 4 sell', '1d_ta_result': 'BUY', '1d_ta_details': '14 buy, 7 hold, 5 sell'}]",Bullish,['$AMZN'],$AMZN,[],143.2,-1.82%,BUY,"12 buy, 10 hold, 4 sell",BUY,"14 buy, 7 hold, 5 sell"
2023-11-16T14:47:00.134000+00:00,"$APPL

Said screw yesterday's bearish candle and trying to go full bull here",https://twitter.com/user/status/1725163033524056115,Nebraskangooner tweeted about AAPL,tweet,"[{'ticker': '$AAPL', 'exchanges': [], 'price': '190.41', 'percentage_change': '+1.26%', '4h_ta_result': 'STRONG_BUY', '4h_ta_details': '16 buy, 10 hold, 0 sell', '1d_ta_result': 'BUY', '1d_ta_details': '15 buy, 9 hold, 2 sell'}]",Bearish,['$AAPL'],$AAPL,[],190.41,+1.26%,STRONG_BUY,"16 buy, 10 hold, 0 sell",BUY,"15 buy, 9 hold, 2 sell"
2023-11-16T15:22:33.710000+00:00,"$APPL

Said screw yesterday's bearish candle and trying to go full bull here",https://twitter.com/user/status/1725163033524056115,Nebraskangooner tweeted about AAPL,tweet,"[{'ticker': '$AAPL', 'exchanges': [], 'price': '189.97', 'percentage_change': '+1.03%', '4h_ta_result': 'STRONG_BUY', '4h_ta_details': '16 buy, 10 hold, 0 sell', '1d_ta_result': 'BUY', '1d_ta_details': '15 buy, 9 hold, 2 sell'}]",Bearish,['$AAPL'],$AAPL,[],189.97,+1.03%,STRONG_BUY,"16 buy, 10 hold, 0 sell",BUY,"15 buy, 9 hold, 2 sell"
2023-11-16T15:22:49.991000+00:00,$MSFT flying off that AI news yesterday,https://twitter.com/user/status/1725163556272799873,Don't follow Shardi B If You Hate Money tweeted about MSFT,tweet,"[{'ticker': '$MSFT', 'exchanges': [], 'price': '375.1', 'percentage_change': '+1.45%', '4h_ta_result': 'BUY', '4h_ta_details': '15 buy, 10 hold, 1 sell', '1d_ta_result': 'STRONG_BUY', '1d_ta_details': '17 buy, 9 hold, 0 sell'}]",Neutral,['$MSFT'],$MSFT,[],375.1,+1.45%,BUY,"15 buy, 10 hold, 1 sell",STRONG_BUY,"17 buy, 9 hold, 0 sell"
2023-11-16T15:35:46.468000+00:00,"$APPL

Said screw yesterday's bearish candle and trying to go full bull here",https://twitter.com/user/status/1725163033524056115,Nebraskangooner tweeted about AAPL,tweet,"[{'ticker': '$AAPL', 'exchanges': [], 'price': '189.68', 'percentage_change': '+0.88%', '4h_ta_result': 'STRONG_BUY', '4h_ta_details': '16 buy, 10 hold, 0 sell', '1d_ta_result': 'BUY', '1d_ta_details': '15 buy, 9 hold, 2 sell'}]",Bearish,['$AAPL'],$AAPL,[],189.68,+0.88%,STRONG_BUY,"16 buy, 10 hold, 0 sell",BUY,"15 buy, 9 hold, 2 sell"
2023-11-16T15:36:00.914000+00:00,$MSFT flying off that AI news yesterday,https://twitter.com/user/status/1725163556272799873,Don't follow Shardi B If You Hate Money tweeted about MSFT,tweet,"[{'ticker': '$MSFT', 'exchanges': [], 'price': '373.8', 'percentage_change': '+1.1%', '4h_ta_result': 'BUY', '4h_ta_details': '15 buy, 10 hold, 1 sell', '1d_ta_result': 'STRONG_BUY', '1d_ta_details': '17 buy, 9 hold, 0 sell'}]",Neutral,['$MSFT'],$MSFT,[],373.8,+1.1%,BUY,"15 buy, 10 hold, 1 sell",STRONG_BUY,"17 buy, 9 hold, 0 sell"
